DATE,PRCP,TMAX,TMIN,
1/1/48,0.47,51,42,
1/2/48,0.59,45,36,
1/3/48,0.42,45,35,
1/4/48,0.31,45,34, 
1/5/48,0.17,45,32,
1/6/48,0.44,48,39,
1/7/48,0.41,50,40,
1/8/48,0.04,48,35,
1/9/48,0.12,50,31,
1/10/48,0.74,43,34,
1/11/48,0.01,42,32,
1/12/48,0,41,26,
1/13/48,0,45,29,
1/14/48,0,38,26,
1/15/48,0,34,31,
1/16/48,0,34,28,
1/17/48,0,35,29,
1/18/48,0,33,28,
1/19/48,0,34,27,
1/20/48,0,36,29,
1/21/48,0,48,32,
1/22/48,0.21,47,44,
1/23/48,0,47,43,
1/24/48,0.1,45,34,
1/25/48,0,46,30,
1/26/48,0,45,32,
1/27/48,0,53,33,
1/28/48,0,53,25,
1/29/48,0.22,42,34,
1/30/48,0.03,47,30,
1/31/48,0.21,35,27,
2/1/48,0.03,39,30,
2/2/48,0,43,26,
2/3/48,0.2,38,26,
2/4/48,0.14,39,31,
2/5/48,0,36,26,
2/6/48,0,43,20,
2/7/48,0.06,43,27,
2/8/48,0.56,44,35,
2/9/48,0,45,32,
2/10/48,0,39,27,
2/11/48,0,46,23,
2/12/48,0,43,26,
2/13/48,0,47,35,
2/14/48,0.5,46,39,
2/15/48,0.35,45,37,
2/16/48,0.84,52,37,
2/17/48,0.13,57,46,
2/18/48,0.01,49,32,
2/19/48,0,45,30,
2/20/48,0.74,45,35,
2/21/48,0.46,49,37,
2/22/48,0.11,47,38,
2/23/48,0,47,36,
2/24/48,0.05,44,36,
2/25/48,0.98,47,41,
2/26/48,0.09,49,37,
2/27/48,0,47,35,
2/28/48,0,50,32,
2/29/48,0,46,34,
3/1/48,0.19,47,32,
3/2/48,0,50,31,
3/3/48,0,52,28,
3/4/48,0,57,31,
3/5/48,0,47,40,
3/6/48,0.06,47,41,
3/7/48,0.16,42,34,
3/8/48,0.11,42,33,
3/9/48,0,47,33,
3/10/48,0,51,31,
3/11/48,0.08,51,31,
3/12/48,0.06,60,37,
3/13/48,0.02,54,35,
3/14/48,0,52,34,
3/15/48,0,52,36,
3/16/48,0,50,33,
3/17/48,0.01,50,36,
3/18/48,0.13,48,35,
3/19/48,0,47,33,
3/20/48,0.06,44,33,
3/21/48,2.04,46,37,
3/22/48,0.03,44,30,
3/23/48,0,54,31,
3/24/48,0.4,54,36,
3/25/48,0.33,50,35,
3/26/48,0,56,36,
3/27/48,0,70,38,
3/28/48,0,64,39,
3/29/48,0,49,39,
3/30/48,0,54,38,
3/31/48,0,53,40,
4/1/48,0.17,46,37,
4/2/48,0.34,45,33,
4/3/48,0.03,47,32,
4/4/48,0.19,49,31,
4/5/48,0.08,51,32,
4/6/48,0.09,44,34,
4/7/48,0,55,30,
4/8/48,0.11,59,32,
4/9/48,0.54,50,39,
4/10/48,0.18,53,38,
4/11/48,0,51,38,
4/12/48,0.03,50,39,
4/13/48,0.01,59,39,
4/14/48,0,63,42,
4/15/48,0.33,65,47,
4/16/48,0,62,43,
4/17/48,0.37,54,44,
4/18/48,0,58,41,
4/19/48,0,61,37,
4/20/48,0,66,39,
4/21/48,0.09,55,44,
4/22/48,0.24,57,43,
4/23/48,0.02,55,42,
4/24/48,0.7,46,40,
4/25/48,0.02,49,34,
4/26/48,0,50,32,
4/27/48,0,53,31,
4/28/48,0.05,45,38,
4/29/48,0,54,33,
4/30/48,0.16,56,35,
5/1/48,0.01,58,38,
5/2/48,0.08,57,35,
5/3/48,0.59,53,42,
5/4/48,0,57,42,
5/5/48,0.56,55,45,
5/6/48,0.27,58,42,
5/7/48,0,59,40,
5/8/48,0.02,54,42,
5/9/48,0,52,41,
5/10/48,0.26,57,43,
5/11/48,0,63,44,
5/12/48,0.39,56,42,
5/13/48,0.14,55,43,
5/14/48,0.03,58,43,
5/15/48,0,64,43,
5/16/48,0.29,60,47,
5/17/48,0,62,43,
5/18/48,0.01,60,45,
5/19/48,0.1,60,40,
5/20/48,0,73,44,
5/21/48,0,62,47,
5/22/48,0,65,48,
5/23/48,0,66,50,
5/24/48,0,80,51,
5/25/48,0,73,51,
5/26/48,0,69,48,
5/27/48,0.83,60,50,
5/28/48,0.88,53,48,
5/29/48,0.3,58,48,
5/30/48,0,69,44,
5/31/48,0,77,46,
6/1/48,0,71,46,
6/2/48,0,76,49,
6/3/48,0.01,67,52,
6/4/48,0,70,49,
6/5/48,0,75,48,
6/6/48,0,82,53,
6/7/48,0,87,59,
6/8/48,0,87,60,
6/9/48,0,81,57,
6/10/48,0,76,55,
6/11/48,0.92,60,53,
6/12/48,0.18,68,50,
6/13/48,0.11,68,51,
6/14/48,0,72,50,
6/15/48,0,71,50,
6/16/48,0.09,60,52,
6/17/48,0.01,66,51,
6/18/48,0,71,50,
6/19/48,0,68,52,
6/20/48,0.76,60,52,
6/21/48,0.01,63,50,
6/22/48,0,62,49,
6/23/48,0,70,47,
6/24/48,0,64,50,
6/25/48,0,64,48,
6/26/48,0,74,50,
6/27/48,0,79,52,
6/28/48,0,82,57,
6/29/48,0,83,56,
6/30/48,0,74,53,
7/1/48,0,69,45,
7/2/48,0,70,44,
7/3/48,0,77,47,
7/4/48,0.24,66,49,
7/5/48,0.27,67,50,
7/6/48,0.44,71,51,
7/7/48,0.09,66,51,
7/8/48,0,71,48,
7/9/48,0,78,51,
7/10/48,0,73,55,
7/11/48,0,71,54,
7/12/48,0,72,50,
7/13/48,0,76,50,
7/14/48,0,77,51,
7/15/48,0,82,51,
7/16/48,0,80,55,
7/17/48,0,82,55,
7/18/48,0.05,61,54,
7/19/48,0.09,64,55,
7/20/48,0,67,54,
7/21/48,0,74,55,
7/22/48,0,71,53,
7/23/48,0.01,71,53,
7/24/48,0,72,49,
7/25/48,0,79,48,
7/26/48,0.34,80,52,
7/27/48,0,67,51,
7/28/48,0,71,53,
7/29/48,0,74,51,
7/30/48,0,80,57,
7/31/48,0,88,57,
8/1/48,0,75,54,
8/2/48,0,68,55,
8/3/48,0.01,68,55,
8/4/48,0,64,50,
8/5/48,0.36,63,49,
8/6/48,0,70,51,
8/7/48,0,70,48,
8/8/48,0,75,51,
8/9/48,0,71,55,
8/10/48,0,69,54,
8/11/48,0,64,53,
8/12/48,0,74,56,
8/13/48,0.06,65,53,
8/14/48,0,68,49,
8/15/48,0.41,68,53,
8/16/48,0.05,70,54,
8/17/48,0.07,74,55,
8/18/48,0,73,55,
8/19/48,0,68,52,
8/20/48,0.01,64,52,
8/21/48,0.11,65,55,
8/22/48,0.01,70,54,
8/23/48,0.11,69,50,
8/24/48,0.34,62,53,
8/25/48,0,72,55,
8/26/48,0.01,72,52,
8/27/48,0.24,61,53,
8/28/48,0,80,55,
8/29/48,0.05,75,57,
8/30/48,0.03,70,54,
8/31/48,0,73,51,
9/1/48,0,74,50,
9/2/48,0.08,69,52,
9/3/48,0.05,70,51,
9/4/48,0,68,50,
9/5/48,0,70,45,
9/6/48,0,70,45,
9/7/48,0,73,50,
9/8/48,0,78,56,
9/9/48,0,81,57,
9/10/48,0,81,55,
9/11/48,0,76,54,
9/12/48,0,75,52,
9/13/48,0,76,52,
9/14/48,0.08,67,50,
9/15/48,0.47,64,49,
9/16/48,0,63,45,
9/17/48,0,68,45,
9/18/48,0,70,41,
9/19/48,0,70,47,
9/20/48,0,69,52,
9/21/48,0.34,61,49,
9/22/48,0.36,51,43,
9/23/48,0.07,54,40,
9/24/48,0,58,38,
9/25/48,0,59,37,
9/26/48,1.51,49,44,
